site,trtUnit,treatment,species,plantID,stemLength1,stemLength2,stemLength3,stemLength4,stemLength5,stemLength6,stemLength7,stemLength8,stemLength9,stemLength10,stemLength11,stemLength12,stemLength13,stemLength14,grazed,flowers,sumOfStems,countOfStems,longestStem,meanStemLength
Bellfountain,3,Control,CALE27,1,3.5,5.5,3.5,4,4,5,5.5,3,1,5.5,7.5,,,,,,48,11,7.5,4.363636364
Bellfountain,3,Control,CALE27,2,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,3,Control,CALE27,3,10,10,10.5,6.5,,,,,,,,,,,,,37,4,10.5,9.25
Bellfountain,3,Control,CALE27,4,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,3,Control,CALE27,5,4,7.5,12.5,,,,,,,,,,,,,,24,3,12.5,8
Bellfountain,6,SM,CALE27,1,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,6,SM,CALE27,2,12,4,7,9,4,,,,,,,,,,,2,36,5,12,7.2
Bellfountain,6,SM,CALE27,3,4,4,,,,,,,,,,,,,,,8,2,4,4
Bellfountain,6,SM,CALE27,4,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,6,SM,CALE27,5,4,5,6,10,5,,,,,,,,,,,,30,5,10,6
Bellfountain,8,MBG,CALE27,1,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,8,MBG,CALE27,2,7,6,4,5,2,1,4,5,2,,,,,,,,36,9,7,4
Bellfountain,8,MBG,CALE27,3,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,8,MBG,CALE27,4,5,,,,,,,,,,,,,,,,5,1,5,5
Bellfountain,8,MBG,CALE27,5,8,5,5,,,,,,,,,,,,,,18,3,8,6
Bellfountain,10,MBG,CALE27,1,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,10,MBG,CALE27,2,11,8,7,6,,,,,,,,,,,,,32,4,11,8
Bellfountain,10,MBG,CALE27,3,6,5,3,3,,,,,,,,,,,,,17,4,6,4.25
Bellfountain,10,MBG,CALE27,4,18,6,7,,,,,,,,,,,,,,31,3,18,4.363636364
Bellfountain,10,MBG,CALE27,5,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,12,MM,CALE27,1,5.5,11.5,7.5,7.5,,,,,,,,,,,,,32,4,11.5,8
Bellfountain,12,MM,CALE27,2,6.5,2.5,6.5,5,5,3.5,4.5,3.5,8.5,4,1,4.5,1.5,2,,,58.5,14,8.5,4.178571429
Bellfountain,12,MM,CALE27,3,5,6,6,7.5,4.5,3,,,,,,,,,,,32,6,7.5,5.333333333
Bellfountain,12,MM,CALE27,4,7.5,11,7.5,10.5,,,,,,,,,,,,,36.5,4,11,9.125
Bellfountain,12,MM,CALE27,5,9.5,4,3,4,4.5,3.5,2.5,,,,,,,,,,31,7,9.5,4.428571429
Bellfountain,13,SM,CALE27,1,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,13,SM,CALE27,2,13,12,8.5,5,,,,,,,,,,,,,38.5,4,13,9.625
Bellfountain,13,SM,CALE27,3,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,13,SM,CALE27,4,4,6,8,4,3,,,,,,,,,,,,25,5,8,
Bellfountain,13,SM,CALE27,5,5.5,2,4,4,4,,,,,,,,,,,,19.5,5,5.5,3.9
Bellfountain,15,SBG,CALE27,1,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,15,SBG,CALE27,2,9,10,14,,,,,,,,,,,,,2,33,3,14,11
Bellfountain,15,SBG,CALE27,3,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,15,SBG,CALE27,4,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,15,SBG,CALE27,5,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,17,Control,CALE27,1,6,4,8,8,5,4,4.5,7,6,5.5,,,,,,,58,10,8,5.8
Bellfountain,17,Control,CALE27,2,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,17,Control,CALE27,3,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,17,Control,CALE27,4,8,11,7,8,7,,,,,,,,,,,,41,5,11,9.25
Bellfountain,17,Control,CALE27,5,2,6,5,,,,,,,,,,,,,,13,3,6,4.333333333
Bellfountain,18,SM,CALE27,1,8,5,7,,,,,,,,,,,,,,20,3,8,6.666666667
Bellfountain,18,SM,CALE27,2,,,,,,,,,,,,,,,,,0,0,0,
Bellfountain,18,SM,CALE27,3,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,18,SM,CALE27,4,8,4,,,,,,,,,,,,,,,12,2,8,6
Bellfountain,18,SM,CALE27,5,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,20,SBG,CALE27,1,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,20,SBG,CALE27,2,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,20,SBG,CALE27,3,5,7,6,6,5,,,,,,,,,,,,29,5,7,5.8
Bellfountain,20,SBG,CALE27,4,5,4,4,,,,,,,,,,,,,,13,3,5,
Bellfountain,20,SBG,CALE27,5,7,5,4,5,3,3,2,,,,,,,,,,29,7,7,4.142857143
Bellfountain,23,SBG,CALE27,1,1,13,7,8,,,,,,,,,,,,1,29,4,13,7.25
Bellfountain,23,SBG,CALE27,2,6,4,5,7,,,,,,,,,,,,,22,4,7,5.5
Bellfountain,23,SBG,CALE27,3,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,23,SBG,CALE27,4,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,23,SBG,CALE27,5,10,8,5,15,16,11,8,17,15,8,6,,,,,4,119,11,17,10.81818182
Bellfountain,24,SM,CALE27,1,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,24,SM,CALE27,2,7,7,7,,,,,,,,,,,,,,21,3,7,7
Bellfountain,24,SM,CALE27,3,8,,,,,,,,,,,,,,,,8,1,8,8
Bellfountain,24,SM,CALE27,4,8,7,4,4,5,18,6,7,3,3,1.5,,,,,2,66.5,11,18,8
Bellfountain,24,SM,CALE27,5,5,4,13,,,,,,,,,,,,,1,22,3,13,7.333333333
Bellfountain,26,MBG,CALE27,1,11,,,,,,,,,,,,,,,,11,1,11,11
Bellfountain,26,MBG,CALE27,2,11,,,,,,,,,,,,,,,,11,1,11,11
Bellfountain,26,MBG,CALE27,3,10,,,,,,,,,,,,,,,,10,1,10,10
Bellfountain,26,MBG,CALE27,4,7,,,,,,,,,,,,,,,,7,1,7,7
Bellfountain,26,MBG,CALE27,5,6,12,5,7,,,,,,,,,,,,,30,4,12,7.5
Bellfountain,27,Control,CALE27,1,8,,9,7,11,,,,,,,,,,,,35,4,11,8.75
Bellfountain,27,Control,CALE27,2,15,17,14,10,,,,,,,,,,,,3,56,4,17,14
Bellfountain,27,Control,CALE27,3,10,9,9,8,8,,,,,,,,,,,,44,5,10,8.8
Bellfountain,27,Control,CALE27,4,10,,,,,,,,,,,,,,,,10,1,10,
Bellfountain,27,Control,CALE27,5,8,5,8,8,8,10,5,,,,,,,,,1,52,7,10,7.428571429
Bellfountain,33,MM,CALE27,1,7,8,6,4,5,7,,,,,,,,,,,37,6,8,6.166666667
Bellfountain,33,MM,CALE27,2,9,10,9,7,9,,,,,,,,,,,,44,5,10,8.8
Bellfountain,33,MM,CALE27,3,14.5,9,9,5,,,,,,,,,,,,,37.5,4,14.5,9.375
Bellfountain,33,MM,CALE27,4,6,7,6,9,,,,,,,,,,,,2,28,4,9,7
Bellfountain,33,MM,CALE27,5,10,6,13,8,10,6,9,7,,,,,,,,,69,8,13,8.625
Bellfountain,34,MM,CALE27,1,8,4,7,6,,,,,,,,,,,,,25,4,8,6.25
Bellfountain,34,MM,CALE27,2,7,2,4,4,4,5,,,,,,,,,,,26,6,7,4.333333333
Bellfountain,34,MM,CALE27,3,8,7,,,,,,,,,,,,,,,15,2,8,7.5
Bellfountain,34,MM,CALE27,4,17,4,3,11,,,,,,,,,,,,,35,4,17,7.2
Bellfountain,34,MM,CALE27,5,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,35,Control,CALE27,1,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,35,Control,CALE27,2,6,5,,,,,,,,,,,,,,,11,2,6,5.5
Bellfountain,35,Control,CALE27,3,5,6,,,,,,,,,,,,,,,11,2,6,5.5
Bellfountain,35,Control,CALE27,4,15,13,,,,,,,,,,,,,,2,28,2,15,14
Bellfountain,35,Control,CALE27,5,12,6,7,2,2,,,,,,,,,,,1,29,5,12,5.8
Bellfountain,37,MBG,CALE27,1,6,4,,,,,,,,,,,,,,,10,2,6,5
Bellfountain,37,MBG,CALE27,2,,,,,,,,,,,,,,,,,0,0,0, 
Bellfountain,37,MBG,CALE27,3,9,7,,,,,,,,,,,,,,,16,2,9,8
Bellfountain,37,MBG,CALE27,4,12,7,,,,,,,,,,,,,,1,19,2,12,4
Bellfountain,37,MBG,CALE27,5,9,3,,,,,,,,,,,,,,1,12,2,9,6
Bellfountain,40,MM,CALE27,1,12,,,,,,,,,,,,,,,,12,1,12,12
Bellfountain,40,MM,CALE27,2,15,5,,,,,,,,,,,,,,,20,2,15,10
Bellfountain,40,MM,CALE27,3,5,2,3,2,1,1,1,,,,,,,,,,15,7,5,2.142857143
Bellfountain,40,MM,CALE27,4,7,7,7,6,4,,,,,,,,,,,,31,5,7,6.2
Bellfountain,40,MM,CALE27,5,8,5,8,5,4,,,,,,,,,,,,30,5,8,6
Bellfountain,44,SBG,CALE27,1,9,,,,,,,,,,,,,,,,9,1,9,9
Bellfountain,44,SBG,CALE27,2,11,7,7,10,4,,,,,,,,,,,,39,5,11,7.8
Bellfountain,44,SBG,CALE27,3,14,8,8,11,9,,,,,,,,,,,2,50,5,14,10
Bellfountain,44,SBG,CALE27,4,18,9,3,,,,,,,,,,,,,1,30,3,18,
Bellfountain,44,SBG,CALE27,5,12,16,8,13,,,,,,,,,,,,2,49,4,16,12.25
