Date,Source,SourceCode,weeks warm,weeks cold,treatment,sourcetreat,rep,seeds,Germinated,prop,Viability,adj.prop
23-Jan,Coast Range,CR,1,4,1-4,CR-1-4,1,50,1,0.02,0.6,0.03
23-Jan,Coast Range,CR,1,4,1-4,CR-1-4,2,50,0,0,0.6,0
23-Jan,Coast Range,CR,1,4,1-4,CR-1-4,3,50,2,0.04,0.6,0.07
23-Jan,Coast Range,CR,1,4,1-4,CR-1-4,4,50,1,0.02,0.6,0.03
17-Feb,Coast Range,CR,1,8,1-8,CR-1-8,1,50,4,0.08,0.6,0.13
17-Feb,Coast Range,CR,1,8,1-8,CR-1-8,2,50,3,0.06,0.6,0.1
17-Feb,Coast Range,CR,1,8,1-8,CR-1-8,3,50,2,0.04,0.6,0.07
17-Feb,Coast Range,CR,1,8,1-8,CR-1-8,4,50,2,0.04,0.6,0.07
10-Feb,Coast Range,CR,4,4,4-4,CR-4-4,1,50,2,0.04,0.6,0.07
10-Feb,Coast Range,CR,4,4,4-4,CR-4-4,2,50,2,0.04,0.6,0.07
10-Feb,Coast Range,CR,4,4,4-4,CR-4-4,3,50,0,0,0.6,0
10-Feb,Coast Range,CR,4,4,4-4,CR-4-4,4,50,1,0.02,0.6,0.03
8-Mar,Coast Range,CR,4,8,4-8,CR-4-8,1,50,26,0.52,0.6,0.87
8-Mar,Coast Range,CR,4,8,4-8,CR-4-8,2,50,9,0.18,0.6,0.3
8-Mar,Coast Range,CR,4,8,4-8,CR-4-8,3,50,17,0.34,0.6,0.57
8-Mar,Coast Range,CR,4,8,4-8,CR-4-8,4,50,29,0.58,0.6,0.97
23-Jan,Heritage,H,1,4,1-4,H-1-4,1,50,0,0,0.66,0
23-Jan,Heritage,H,1,4,1-4,H-1-4,2,50,2,0.04,0.66,0.06
23-Jan,Heritage,H,1,4,1-4,H-1-4,3,50,0,0,0.66,0
23-Jan,Heritage,H,1,4,1-4,H-1-4,4,50,2,0.04,0.66,0.06
17-Feb,Heritage,H,1,8,1-8,H-1-8,1,50,5,0.1,0.66,0.15
17-Feb,Heritage,H,1,8,1-8,H-1-8,2,50,9,0.18,0.66,0.27
17-Feb,Heritage,H,1,8,1-8,H-1-8,3,50,12,0.24,0.66,0.36
17-Feb,Heritage,H,1,8,1-8,H-1-8,4,50,8,0.16,0.66,0.24
10-Feb,Heritage,H,4,4,4-4,H-4-4,1,50,2,0.04,0.66,0.06
10-Feb,Heritage,H,4,4,4-4,H-4-4,2,50,1,0.02,0.66,0.03
10-Feb,Heritage,H,4,4,4-4,H-4-4,3,50,3,0.06,0.66,0.09
10-Feb,Heritage,H,4,4,4-4,H-4-4,4,50,4,0.08,0.66,0.12
8-Mar,Heritage,H,4,8,4-8,H-4-8,1,50,26,0.52,0.66,0.79
8-Mar,Heritage,H,4,8,4-8,H-4-8,2,50,20,0.4,0.66,0.61
8-Mar,Heritage,H,4,8,4-8,H-4-8,3,50,32,0.64,0.66,0.97
8-Mar,Heritage,H,4,8,4-8,H-4-8,4,50,25,0.5,0.66,0.76
23-Jan,Mehema,M,1,4,1-4,M-1-4,1,50,0,0,0.62,0
23-Jan,Mehema,M,1,4,1-4,M-1-4,2,50,0,0,0.62,0
23-Jan,Mehema,M,1,4,1-4,M-1-4,3,50,0,0,0.62,0
23-Jan,Mehema,M,1,4,1-4,M-1-4,4,50,0,0,0.62,0
17-Feb,Mehema,M,1,8,1-8,M-1-8,1,50,1,0.02,0.62,0.03
17-Feb,Mehema,M,1,8,1-8,M-1-8,2,50,1,0.02,0.62,0.03
17-Feb,Mehema,M,1,8,1-8,M-1-8,3,50,4,0.08,0.62,0.13
17-Feb,Mehema,M,1,8,1-8,M-1-8,4,50,4,0.08,0.62,0.13
10-Feb,Mehema,M,4,4,4-4,M-4-4,1,50,0,0,0.62,0
10-Feb,Mehema,M,4,4,4-4,M-4-4,2,50,0,0,0.62,0
10-Feb,Mehema,M,4,4,4-4,M-4-4,3,50,0,0,0.62,0
10-Feb,Mehema,M,4,4,4-4,M-4-4,4,50,0,0,0.62,0
8-Mar,Mehema,M,4,8,4-8,M-4-8,1,50,29,0.58,0.62,0.94
8-Mar,Mehema,M,4,8,4-8,M-4-8,2,50,22,0.44,0.62,0.71
8-Mar,Mehema,M,4,8,4-8,M-4-8,3,50,20,0.4,0.62,0.65
8-Mar,Mehema,M,4,8,4-8,M-4-8,4,50,22,0.44,0.62,0.71
23-Jan,Pigeon Butte,PB,1,4,1-4,PB-1-4,1,50,3,0.06,0.4,0.15
23-Jan,Pigeon Butte,PB,1,4,1-4,PB-1-4,2,50,2,0.04,0.4,0.1
23-Jan,Pigeon Butte,PB,1,4,1-4,PB-1-4,3,50,0,0,0.4,0
23-Jan,Pigeon Butte,PB,1,4,1-4,PB-1-4,4,50,1,0.02,0.4,0.05
17-Feb,Pigeon Butte,PB,1,8,1-8,PB-1-8,1,50,8,0.16,0.4,0.4
17-Feb,Pigeon Butte,PB,1,8,1-8,PB-1-8,2,50,11,0.22,0.4,0.55
17-Feb,Pigeon Butte,PB,1,8,1-8,PB-1-8,3,50,10,0.2,0.4,0.5
17-Feb,Pigeon Butte,PB,1,8,1-8,PB-1-8,4,50,9,0.18,0.4,0.45
10-Feb,Pigeon Butte,PB,4,4,4-4,PB-4-4,1,50,1,0.02,0.4,0.05
10-Feb,Pigeon Butte,PB,4,4,4-4,PB-4-4,2,50,1,0.02,0.4,0.05
10-Feb,Pigeon Butte,PB,4,4,4-4,PB-4-4,3,50,1,0.02,0.4,0.05
10-Feb,Pigeon Butte,PB,4,4,4-4,PB-4-4,4,50,0,0,0.4,0
8-Mar,Pigeon Butte,PB,4,8,4-8,PB-4-8,1,50,40,0.8,0.4,2
8-Mar,Pigeon Butte,PB,4,8,4-8,PB-4-8,2,50,41,0.82,0.4,2.05
8-Mar,Pigeon Butte,PB,4,8,4-8,PB-4-8,3,50,41,0.82,0.4,2.05
8-Mar,Pigeon Butte,PB,4,8,4-8,PB-4-8,4,50,41,0.82,0.4,2.05
23-Jan,Santiam,S,1,4,1-4,S-1-4,1,50,1,0.02,0.455,0.04
23-Jan,Santiam,S,1,4,1-4,S-1-4,2,50,0,0,0.455,0
23-Jan,Santiam,S,1,4,1-4,S-1-4,3,50,0,0,0.455,0
23-Jan,Santiam,S,1,4,1-4,S-1-4,4,50,0,0,0.455,0
17-Feb,Santiam,S,1,8,1-8,S-1-8,1,50,4,0.08,0.455,0.18
17-Feb,Santiam,S,1,8,1-8,S-1-8,2,50,0,0,0.455,0
17-Feb,Santiam,S,1,8,1-8,S-1-8,3,50,3,0.06,0.455,0.13
17-Feb,Santiam,S,1,8,1-8,S-1-8,4,50,1,0.02,0.455,0.04
10-Feb,Santiam,S,4,4,4-4,S-4-4,1,50,0,0,0.455,0
10-Feb,Santiam,S,4,4,4-4,S-4-4,2,50,0,0,0.455,0
10-Feb,Santiam,S,4,4,4-4,S-4-4,3,50,1,0.02,0.455,0.04
10-Feb,Santiam,S,4,4,4-4,S-4-4,4,50,0,0,0.455,0
8-Mar,Santiam,S,4,8,4-8,S-4-8,1,50,8,0.16,0.455,0.35
8-Mar,Santiam,S,4,8,4-8,S-4-8,2,50,1,0.02,0.455,0.04
8-Mar,Santiam,S,4,8,4-8,S-4-8,3,50,4,0.08,0.455,0.18
8-Mar,Santiam,S,4,8,4-8,S-4-8,4,50,17,0.34,0.455,0.75
23-Jan,Silver Falls,SF,1,4,1-4,SF-1-4,1,50,0,0,0.41,0
23-Jan,Silver Falls,SF,1,4,1-4,SF-1-4,2,50,0,0,0.41,0
23-Jan,Silver Falls,SF,1,4,1-4,SF-1-4,3,50,0,0,0.41,0
23-Jan,Silver Falls,SF,1,4,1-4,SF-1-4,4,50,0,0,0.41,0
17-Feb,Silver Falls,SF,1,8,1-8,SF-1-8,1,50,0,0,0.41,0
17-Feb,Silver Falls,SF,1,8,1-8,SF-1-8,2,50,0,0,0.41,0
17-Feb,Silver Falls,SF,1,8,1-8,SF-1-8,3,50,0,0,0.41,0
17-Feb,Silver Falls,SF,1,8,1-8,SF-1-8,4,50,0,0,0.41,0
10-Feb,Silver Falls,SF,4,4,4-4,SF-4-4,1,50,0,0,0.41,0
10-Feb,Silver Falls,SF,4,4,4-4,SF-4-4,2,50,0,0,0.41,0
10-Feb,Silver Falls,SF,4,4,4-4,SF-4-4,3,50,0,0,0.41,0
10-Feb,Silver Falls,SF,4,4,4-4,SF-4-4,4,50,1,0.02,0.41,0.05
8-Mar,Silver Falls,SF,4,8,4-8,SF-4-8,1,50,0,0,0.41,0
8-Mar,Silver Falls,SF,4,8,4-8,SF-4-8,2,50,0,0,0.41,0
8-Mar,Silver Falls,SF,4,8,4-8,SF-4-8,3,50,2,0.04,0.41,0.1
8-Mar,Silver Falls,SF,4,8,4-8,SF-4-8,4,50,0,0,0.41,0
